id,batteryLevel,scene,cost,gold,X,X1,X2,X3
配置id,炮台等级,使用场景,解锁鱼骨,解锁奖励,,,,
1,10,11,0,0,备注,,,
2,20,11,0,0,,经典渔场,起始倍数,最大倍数
3,50,11,0,0,,场次一,20,100
4,90,11,0,0,,场次二,200,1000
5,100,12,0,0,,场次三,2000,10000
6,200,12,0,0,,场次四,20000,100000
7,500,12,0,0,,场次五,200000,1000000
8,1000,12,0,0,,,,
9,2000,12,0,0,,龙晶战场,起始倍数,最大倍数
10,5000,12,0,0,,场次一,20,90
11,10000,12,0,0,,场次二,100,10000
12,1000,13,0,0,,场次三,1000,100000
13,2000,13,0,0,,场次四,1000,100000
14,5000,13,0,0,,场次五,100000,500000
15,10000,13,0,0,,体验场,2000,10000
16,20000,13,0,0,,,,
17,50000,13,0,0,,大奖赛使用场次三的炮倍,2000,10000
18,100000,13,0,0,,,,
