id,name,modelId,fishType,fishType2,scene,money,maxMoney,bfMoney,bfMaxMoney,hsMoney,hsMaxMoney,minSafe,maxSafe,attack,health,health1,health2,maxhealth,delayTime,durationDeathRefreshFlag,exp,skill,fallingMaterials,minSkillDropNum,maxSkillDropNum,skillDropProbability,skillDropProbabilityOne,skillDropProbabilityTwo,skillDropProbabilityMax,skillDropProbabilityJc,2,3,4,5,6,7,8,9
鱼id,名称,模型id,鱼类型,目标类型,场景,基础金币,最大金币,爆发时基础金币,爆发时最大金币,回收时基础金币,回收时最大金币,最小安全值,最大安全值 ,攻击值,基础生命值,爆发生命值,回收生命值,最大生命值,延迟刷出时间,持续时间范围内死亡后，是否继续刷：0不刷，1刷；逃跑不受此参数影响（逃跑情况：满足持续时间和延迟刷出时间下正常刷出）,经验值,附带技能,掉落材料,技能最少掉落数量,技能最大掉落数量,20-1000倍掉落概率,2000—50000倍掉落概率,60000-1000000倍掉掉落概率,炮台锻造完成后的掉落概率,海神令,,,,,,,,
101,小黄刺鱼,1,1,1,11,2,,2,,2,,,,1,2,2,2,,0,0,2,,,,,,,,,,,,,,,,,
102,小草鱼,2,1,1,11,2,,2,,2,,,,1,2,2,2,,0,0,2,,,,,,,,,,,,,,,,,
103,热带黄鱼,3,1,1,11,3,,3,,3,,,,1,3,3,3,,0,0,3,,,,,,,,,,,,,,,,,
104,大眼金鱼,4,1,1,11,4,,4,,4,,,,1,4,4,4,,0,0,4,,,,,,,,,,,,,,,,,
105,热带条纹鱼,5,1,1,11,5,,5,,5,,,,1,5,5,5,,0,0,5,,,,,,,,,,,,,,,,,
106,小丑鱼,6,1,1,11,6,,6,,6,,,,1,6,6,6,,0,0,6,,,,,,,,,,,,,,,,,
107,河豚鱼,7,1,1,11,7,,7,,7,,,,1,7,7,7,,0,0,7,,,,,,,,,,,,,,,,,
108,蓝倒吊,8,1,1,11,8,,8,,8,,,,1,8,8,8,,0,0,8,,,,,,,,,,,,,,,,,
109,灯笼鱼,9,1,1,11,9,,9,,9,,,,1,9,9,9,,0,0,9,,,,,,,,,,,,,,,,,
110,神仙鱼,10,1,1,11,12,,12,,12,,,,1,10,10,10,,0,0,10,,,,,,,,,,,,,,,,,
111,乌龟,11,1,1,11,10,,10,,10,,,,1,10,10,10,,0,0,10,,,,,,,,,,,,,,,,,
112,蝴蝶鱼,12,1,1,11,15,,15,,15,,,,1,12,12,12,,0,0,12,,,,,,,,,,,,,,,,,
113,铃铛鱼,13,1,1,11,18,,18,,18,,,,1,15,15,15,,0,0,15,,,,,,,,,,,,,,,,,
114,剑鱼,14,1,2,11,20,,20,,20,,,,1,20,20,20,,0,0,20,,,,,,,,,,,,,,,,,
115,魔鬼鱼,15,1,2,11,25,,25,,25,,,,1,20,20,20,,0,0,20,,,,,,,,,,,,,,,,,
116,小银鲨,16,1,2,11,30,,30,,30,,,,1,25,25,25,,0,0,25,,,,,,,,,,,,,,,,,
117,小金鲨,17,1,2,11,40,,40,,40,,,,1,30,30,30,,0,0,30,,,,,,,,,,,,,,,,,
118,玉蟾,18,1,2,11,150,,150,,150,,,,1,45,45,45,,0,0,45,,,,,,,,,,,,,,,,,
119,金蟾,19,4,2,11,150,250,250,300,150,200,,,1,45,45,150,,0,0,45,,,,,,,,,,,,,,,,,
120,银龙,20,4,2,11,200,,200,,200,,,,1,70,70,240,,0,0,70,,,,,,,,,,,,,,,,,
